,StudentID,Timestamp,state,prop,leaning,topUrl,isRelevant,isAd,non_us_loc,issues
27,27,2020-11-01 15:50:27,CA,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,,
28,28,2020-11-01 17:21:32,CA,24,1,https://www.google.com/aclk?sa=l&ai=DChcSEwiivJ3s2OLsAhWPwMAKHST4DtkYABAAGgJpbQ&ae=2&sig=AOD64_3BEOg4aUMnzTV6tNz1YH5Cryi5Mg&q&adurl&ved=2ahUKEwjzqJTs2OLsAhUPSK0KHazBCyMQ0Qx6BAgbEAE,TRUE,TRUE,,
28,28,2020-11-01 17:21:32,CA,22,1,https://www.google.com/aclk?sa=l&ai=DChcSEwisnOfA2OLsAhUw5uMHHV7hAEIYABAAGgJ5bQ&ae=2&sig=AOD64_2iF9BfS93-BeaPA9qa5HcUEAoicw&q&adurl&ved=2ahUKEwjIvt3A2OLsAhUEXKwKHWIUDmYQ0Qx6BAgcEAE,TRUE,TRUE,,
29,29,2020-11-01 17:37:48,CA,24,1,,TRUE,TRUE,,
29,29,2020-11-01 17:37:48,CA,22,1,,TRUE,TRUE,,
30,30,2020-11-01 18:34:15,CA,22,1,https://yeson22.com/?gclid=Cj0KCQjwufn8BRCwARIsAKzP694twBuX3-z7-ncXnEZgIZK3gyZqOULglXVpH0CeD4ae4uROQ475Al4aAkWnEALw_wcB,TRUE,TRUE,,
30,30,2020-11-01 18:34:15,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
31,31,2020-11-01 20:47:29,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,No.
31,31,2020-11-01 20:47:29,CA,22,1,https://yeson22.com/?gclid=Cj0KCQjwufn8BRCwARIsAKzP695hQBmR2zaYffmb67uo0uJvZhLSsNAE6H7P4v0o0LmdVUMnPFk9LNAaAp0vEALw_wcB,TRUE,TRUE,,No.
32,32,2020-11-01 21:12:29,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
32,32,2020-11-01 21:12:29,CA,22,1,https://yeson22.com/?gclid=Cj0KCQjwufn8BRCwARIsAKzP695GGh-tpEQWkxddzRpJU7M7iJ2LLAZaVjAtYgz9HfpkLntfQkEMVGcaAuuyEALw_wcB,TRUE,TRUE,,
33,33,2020-11-01 23:34:31,CA,22,1,https://yeson22.com/?gclid=Cj0KCQjwufn8BRCwARIsAKzP697gow5DG8weRoRUKnNctahPajZcz6QhhNS5_KPdUkvSHpIcjRmTyWkaAhuHEALw_wcB,TRUE,TRUE,,
33,33,2020-11-01 23:34:31,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
34,34,2020-11-02 01:27:05,CA,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,,No complications!
34,34,2020-11-02 01:27:05,CA,24,0,"https://ballotpedia.org/California_Proposition_24,_Consumer_Personal_Information_Law_and_Agency_Initiative_(2020)",TRUE,FALSE,,No complications!
35,35,2020-11-02 02:06:14,CA,24,1,,TRUE,TRUE,,
35,35,2020-11-02 02:06:14,CA,22,1,,TRUE,TRUE,,
36,36,2020-11-02 06:35:17,Intl,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,Hong Kong,Google may add in top news stories before top result especially for prop 22 as it is heavily debated and mentioned in news articles.
36,36,2020-11-02 06:35:17,Intl,24,0,https://calmatters.org/election-2020-guide/proposition-24-data-privacy/,TRUE,FALSE,Hong Kong,Google may add in top news stories before top result especially for prop 22 as it is heavily debated and mentioned in news articles.
37,37,2020-11-02 09:48:51,CA,24,0,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
37,37,2020-11-02 09:48:51,CA,22,0,https://yeson22.com/?gclid=CjwKCAiA-f78BRBbEiwATKRRBDkzhMvT91CJtZRb67wdAniZfvT5TS2VXZLvBgNU4xPtyNB3Ytj6lBoCNG8QAvD_BwE,TRUE,TRUE,,
38,38,2020-11-02 10:46:43,Intl,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,China,Not really
38,38,2020-11-02 10:46:43,Intl,22,1,https://yeson22.com/?gclid=CjwKCAiA-f78BRBbEiwATKRRBAgwcW0h9hC5s5pEhwEbNVYNzcpOwMn6vK4Y6qI2gvN4nU1glNeePhoCu78QAvD_BwE,TRUE,TRUE,China,Not really
